Date Sold,Parcel Number,Legal Description,APN,Owner Name Address,longitude,latitude,Situs Address,URL,Source,Page No.
Could not process page 1
"August 28, 2012",K2011-01938,  THE MANHATIAN CONDOMIN!UM---UNIT 8Q  ,29-210-14-04-00-0-06-015,,-94.5744120004,39.1045399539,"700 E 8TH ST 8Q, KANSAS CITY, MO 64106",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-210-14-04-00-0-06-015,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,2
"August 28, 2012",K2011-01941,  THE MANHATIAN CONDOMINIUM---UNIT  lSQ ,29-210-14-04-00-0-12-015,,-94.5744120004,39.1045399539,"700 E 8TH ST 15Q, KANSAS CITY, MO 64106",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-210-14-04-00-0-12-015,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,3
"August 28, 2012",K2011-01947,  JARBOE'S ADD---LOT 66 BLK 3  ,29-410-07-15-00-0-00-000,,-94.5960824651,39.0917346102,"1742 BELLEVIEW AVE, KANSAS CITY, MO 64108",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-410-07-15-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,4
"August 28, 2012",K2011-01977,  PORTERS J L 2ND SUB CONT OF---N 6.5' LOT 16  & S 31' LOT 17 BLK 5  ,29-540-27-23-00-0-00-000,,-94.5740104859,39.0787008803,"2622 CAMPBELL ST, KANSAS CITY, MO 64108",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-540-27-23-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,5
"August 28, 2012",K2011-01979,  ANSLEY'S RES OF BL 3 OF BROOKLYN HEIGHTS---S 23' LOT 41  & N 4' LOT 42 BLK 3  ,29-610-22-07-00-0-00-000,,-94.5528365034,39.0875624223,"2011 WABASH AVE, KANSAS CITY, MO 64127",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-610-22-07-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,6
"August 28, 2012",K2011-01999,  MOUNT PROSPECT ADD  LOT 12  ,29-620-34-04-00-0-00-000,,-94.5671862009,39.0857063637,"1315 E 22ND ST, KANSAS CITY, MO 64127",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-620-34-04-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,7
"August 28, 2012",K2011-02014,  CAPITOL HILL---S 5' LOT 1  & ALL LOT 2 BLK 2  ,29-640-10-28-00-0-00-000,,-94.5548405667,39.0830188159,"2402 OLIVE ST, KANSAS CITY, MO 64127",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-640-10-28-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,8
"August 28, 2012",K2011-02031,  BELMONT---S 16.67' LOT 79  & N 16.67' LOT 80  ,29-640-26-23-00-0-00-000,,-94.5538453422,39.0795935771,"2532 WABASH AVE, KANSAS CITY, MO 64127",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-640-26-23-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,9
"August 28, 2012",K2011-02032,  BELMONT---LOT 78  & N 8.33' LOT 79  ,29-640-26-24-00-0-00-000,,-94.5538405363,39.0796954217,"2530 WABASH AVE, KANSAS CITY, MO 64127",http://maps.jacksongov.org/PropertyReport/propertyReport.cfm?pid=29-640-26-24-00-0-00-000,data/PDFs/2011/kc report of sale vol. 1-1 ocr.pdf,10
